submit_date,down_votes,up_votes,meaning,date,phrase
" September 25, 2016",488,1804,"Synonymous to comfort food, comfort cartoon provides feelings of nostalgia and sentimentality towards the viewers. The type of animation tends to be stylized and visually appealing: over or under saturation of colours, ""incorrect"" motion etc.The storylines tend to be rich with lessons and underlying meanings (nutrients) or sometimes it's just for pure fun and joy (carbs).Popular examples would be: Classic Looney Tunes, B&amp;W Mickey Mouse, retro Disney (70's or 80's classics).",Oct 1,comfort cartoon
" January 27, 2016",4856,4205,"the act of excreting racist, sexist, homophobic, theocratic, fascist rhetoric from one's oral sphincter; esp. in the presence of large groups of like-minded, gullible, and/or easily influenced/manipulated individuals",Sep 30,take a trump
" June 27, 2015",8515,7624,Asking your homie to hook you up with his girlfriends best friend.,Sep 29,put me in the car
" January 16, 2016",7634,2646,"Manterrupting: a sexist display of male ""dominance"". A trait that has not yet been lost despite decades of evolution. When men interrupt women because they ""believe"" that what they have to say is somehow more important.",Sep 28,manterrupting
" February 11, 2009",2026,11542,"When you are flying in the coach section of an airplane and one or both of the other two seats are unoccupied giving you more room, to stretch, lean or lie down.",Sep 27,Redneck First Class
" October 07, 2016",2347,5813,Something that Donald Trump enjoys doing.,Oct 9,grab them by the pussy
" July 02, 2003",2052,7193,Toking up right after you wake up.,Sep 25,wake and bake
" October 09, 2016",580,2796,The noise someone makes when they want to let you know they are in a bathroom stall,Oct 10,Stall Sniffle
" September 09, 2016",1098,1966,A euphemistic reference to taking a massive dump. Typically the corn filled variety. But eloquently expresses any act of defecation.,Sep 11,Corn Art
" July 24, 2006",4194,11681,"Something that is sexually desirable, or deemed high enough quality that it can be used for masturbation purposes.",Sep 18,fappable
" February 28, 2012",5710,3389,1. Having no intention of following thru on a date or promise2. A sarcastic way of accepting a date.3. Accepting a date only to mock the requester.,Sep 26,Pencil you into my Blackberry
" April 24, 2007",1284,3635,"An insincere apology or expression of regret, often blaming the aggrieved party for being offended or bringing up an irrelevant topic to distract.",Oct 8,nonpology
" October 29, 2006",2971,7865,(merf) noun. acronym for Mom I'd Run From. The opposite of a MILF. A mom you definitely would not want to do.,Oct 7,MIRF
" July 16, 2014",8175,14323,when someone disrespects your manhood.,Sep 24,steppin on my dick
" July 10, 2002",1713,6268,No Fucking Idea,Sep 23,nfi
" May 28, 2004",6941,3161,"When a man sleeps with a single mother with a small child.Also, when a man expresses false adornment for a women's child in order to sleep with her.",Sep 22,Shoplift the Pooty
" August 03, 2012",1759,4040,A far more severe muffin top where several folds of fat spills over a women's pants creating various nooks and crannies.,Sep 21,english muffin top
" July 02, 2008",1440,7804,"A text message containing information (usually unflattering or damaging) about a third party which is sent to the individual it concerns rather than the person for whom the communication is intended.",Sep 10,mistext
" May 08, 2004",1645,991,"the morning after hippies or member of the 60's counter culture have made tie dyed t shirts, candles, or prayer flags",Sep 9,hippie christmas
" December 07, 2008",3933,10163,"When you go for a day or so without brushing your teeth, and the texture in your mouth feels like your teeth are wearing fuzzy little sweaters.",Sep 8,Tooth sweater
" January 14, 2005",3917,9895,Television channels you get without a cable or satellite TV subscription.,Sep 3,peasantvision
" May 19, 2006",715,4392,"A person who frequently attacks others in speech or writing, but who poses no intellectual threat whatsoever.  The motivation of this type of person can usually be accurately construed as a desire to be obnoxious and offensive.Origin: The phrase ""porch dog"" is used to refer to dogs that sit on front porches and bark (vigorously and fruitlessly) at passersby, but who pose no physical threat.",Sep 2,porch dog
" September 16, 2016",1386,2434,"to lecture about social injustice, while doing little to create change.",Sep 17,jabber woke
" June 16, 2015",6524,4330,a feeling that one is in the body of the wrong species,Sep 16,species dysphoria
" April 13, 2007",6424,5585,An fool who believes all information found on Wikipedia is accurate and true.  ,Sep 15,wikiot
" March 29, 2004",4354,8372,The immediately preceding statement is false and was told to mislead.,Sep 14,sike
" November 30, 2012",4605,5860,"A person who holds a significant amount of money tied up in Gift Cards, Store Credit, Groupons and other forms of vouchers.",Aug 31,Gift Card Millionaire
" December 16, 2003",2058,3878,Undercover police officers. (low profile police),Aug 24,low pro po
" October 04, 2016",1403,2161,The act of looking up the definition of a word.,Oct 6,Dictionaried
" May 12, 2009",981,3685,A unique and powerfull relationship amongst bros that words cannot define.,Oct 5,bromosexual
" January 06, 2009",712,2150,"The gradual conversion of your wealth and possessions to the government, through taxes, inflation and unjust laws.",Oct 4,financial erosion
" October 02, 2016",2934,3109,"Early morning tweeting that is vengeful, mean, or defamatory-- ideally laced with falsehood and innuendo.",Oct 3,Trumper Tantrum
" December 21, 2005",1184,7792,When a female you are interested in casually reveals that she has a boyfriend (intentionally or otherwise).,Sep 20,boyfriend bomb
" October 10, 2009",7421,17154,A variation of see you later alligator,Sep 19,See you later masturbator
" August 11, 2016",995,3302,When a person in casual conversation drops extremely depressing information in an order to derail the conversation to a more depressing state.,Aug 13,Depressive Aggressive
" November 19, 2012",3787,4948,One that has money beyond that of a normal baller yet pays less taxes than a street pharmaceutical rep or an illegal immigrant.,Sep 1,Mitt Romney Money
" December 04, 2006",2820,6643,noun:  a pornographic Christmas ornament.,Sep 13,pornament
" June 02, 2012",1679,2378,A form of punishment wherein an employee fucks up beyond the reprimand of a warning and is put on a disciplinary leave of absence with or without pay.,Sep 12,Shamecation
" September 15, 2010",2983,1709,oral sex.,Aug 30,orophilia
" June 01, 2016",3829,1699,your baby daddy,Aug 29,ybd
" July 20, 2016",3540,16954,The act of pulling your dick out of your pants as a sign of respect for our nigga Harambe,Aug 28,Dicks out for Harambe
" October 18, 2006",2334,1942,"a spin-off of the word hardcore, used, when referring to Pornography, to refer to a movie that was made with a Shakespearean play as the original plot.",Aug 27,bardcore
" June 01, 2010",7582,19075,"ripped or ""holy"" jeans. They're so holy, they're jesus jeans!",Aug 26,Jesus Jeans
" December 07, 2011",3180,7992,To be humiliated in front of ones family.,Aug 25,familiated
" January 15, 2015",8234,11940,"A way of saying the phrase, ""Hate us cause they ain't us"" with a little more elegance.",Aug 23,hate us cause they anus
" August 17, 2016",1286,2740,"A middle-distance relationship, or ""MDR"", is when two people find themselves living with *JUST* enough distance between them that they cant see each other as often as they'd like  shorter than the distance between Taylor Swift and Adele's vocal ranges but longer than the time it takes to master the catchy lyrics to Tay Tays latest chart-topper. Commonly used for a relationship with a significant other, friend, or friend's pet that lives more than 30 minutes, one bridge or a very large hill away.",Aug 20,Middle-distance relationship
" August 17, 2016",1320,2003,"A panicky, flirtatious text thread usually leading to sexting. Commonly typed in a nervous fashion out of fear of getting caught.",Aug 19,Fever Texting
" August 17, 2016",806,2011,"a massive night out with the lads with no defined finishing time, unlimited larger consumption and scant regard for any tasks or responsibilities that need to be adhered to the next day. Generally the premise of the out of town worker",Aug 18,Full smash
" August 03, 2016",2847,6226,"When a women texts you using more than one ""y"" it means they like or have a crush on you.",Aug 4,"More than one ""y"""
" August 02, 2016",2817,4102,When someone brags about something but are clearly lying about it or give an example of how bad you are at the thing you're bragging about.,Aug 12,Trump Brag
" August 09, 2016",3314,2586,"What happens when you type ""Google"" into Google.",Aug 11,Break the Internet
" August 05, 2016",2098,1613,Open Beta is the stage of devolopment where you have to Pre-Purchase the game to have the privelege to test it for any final bugs.,Aug 10,Open Beta
" August 06, 2016",1740,3409,a driver that is all over your rear bumper if you drive the speed limit.,Aug 9,texas driver
" May 14, 2010",1614,4513,"A sarcastic phrase meant to downplay the complaint or misfortune of another person, similar to playing the world's tiniest violin with one's fingers.It is a reference to the assassination of President Lincoln. Can be substituted with any phrase referring to a tragic event, such as, ""Other than that, how was the flight, Sullie?""",Aug 15,"Other than that, how was the play, Mrs. Lincoln?"
" August 11, 2016",2548,1069,Bay area term meaning to put money down on someone else's gas. Someone's portion of gas money.,Aug 14,Gas Ends
" July 21, 2016",2526,4926,The phobia of texting in group chats.,Jul 24,Group Chat Phobia
" July 28, 2016",1570,6744,The act of taking your bra off after a long day and letting them be free.,Aug 1,Let my girls hang
" October 28, 2003",1860,5034,A rude assholelike person. originated in pittsburgh,Jul 31,Jagoff
" August 05, 2016",1221,2414,When you send or receive a text that is so long that you need to scroll down.,Aug 8,paratext
" August 06, 2016",631,2665,"An excuse used by shitty people to deny ownership or knowledge of their bad qualities. Can also be used to devalue and avoid change or responsibility over what the other person said to them. In either case, the speaker feigns surprise at these ""new"" and ""unexpected"" things they are being told.Translates directly into ""you've taken all my shit before, why the sudden backbone?"" and/or ""I've known this for awhile, but why bring it up now?""",Aug 7,where is this coming from
