category,appellation,name,variety,price,bottle_size,points,winery,description,alcohol,vintage
Red,US,Devil Proof 2014 Farrow Ranch Malbec (Alexander Valley),Malbec,150,750 ml,94,Devil Proof,"A stunner from this vineyard, made entirely varietal, and aged 20 months in new French oak. Floral and herbal, the wine is thick, dense and concentrated, still youthful in intensity. Smoked pepper accents meat and game, as rose petals come into play on the nose. Fully expressive in these savory characteristics, it ends in a burst of succulent blueberry and smoke.",14.60%,2014
White,US,Gary Farrell 2014 Durell Vineyard Chardonnay (Sonoma Valley),Chardonnay,60,750 ml,94,Gary Farrell,"From the rocky, volcanic soils of Durell, this white is exuberant in salty rock and sea spray, showing plenty of influence from the Pacific Ocean to its west. Sturdy in structure and length, the fruit is twisted in pink grapefruit and crisp apple, its underbelly a richer, warmer expression of toffee and caramel.",14.20%,2014
Red,US,Merry Edwards 2014 Olivet Lane Pinot Noir (Russian River Valley),Pinot Noir,68,750 ml,94,Merry Edwards,"This is from one of the oldest Pinot Noir vineyards in the area, owned and farmed by Bob Pellegrini, and a place that has provided grapes Edwards since the 1980s. Spicy pine and cardamom greet the nose and palate, as silky smooth layers of rose and wild strawberry meet cardamon and vanilla. Medium-bodied, it remains complex and balanced as it develops additional nuance in the glass.",14.40%,2014
Fortified,Portugal,Cossart Gordon 2008 Colheita Single Harvest Bual (Madeira),Bual,34,500 ml,94,Cossart Gordon,"The sweetest style of Madeira still has that wonderful burnt acidity that keeps it from being cloying. So while there is an initial toffee character, the wine then tightens up with orange marmalade and an intense acidity. Drink this beautiful wine now.",19%,2008
White,Germany,Fritz Haag 2015 Brauneberger Juffer Sonnenuhr Auslese Riesling (Mosel),Riesling,56,375 ml,94,Fritz Haag,"While sylphlike in mouthfeel, this outrageously ripe, rich auslese packs a punch of dried apricot, peach and pineapple flavors. Its sweetness penetrates deeply, punctuated by earthy fennel notes. It's delicious already but should improve through 2040, likely beyond.",7.50%,2015
Red,US,Robert Biale 2014 Palisades Vineyard Petite Sirah (Calistoga),Petite Sirah,55,750 ml,94,Robert Biale,"From the eastern side of Calistoga, under the gorgeous geological formation for which the vineyard is named, this wine shows complex, moderately ripe aspects of pencil, leather and youthful, lifted acidity. Grippy still, the Burgundian oak used for aging was 30% new. Elegantly refined, it'll do well with further time in the cellar; enjoy best 2024 through 2034.",14.40%,2014
Red,Italy,Fratelli Urciuolo 2011 Taurasi,Aglianico,70,750 ml,94,Fratelli Urciuolo,"A simply fantastic expression of Aglianico, this opens with alluring aromas of underbrush, ripe black-skinned fruit, leather, tilled earth and dark spice that carry over to the delicious full-bodied palate. Firm velvety tannins and fresh acidity balance the juicy fruit flavors. It's already extremely tempting but hold for even more complexity. Drink 20202031.",14%,2011
Red,US,Parrish Family 2014 Clone 6 Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,65,750 ml,94,Parrish Family,"This is an impressive bottling from the Parrish family. Thick in the glass, it shows aromas of candied black currant, caramel, purple flowers and a hint of smoke. The palate is full and hearty with black cherry, clove and baking spice flavors. Its richness is balanced by tangy acidity and tannins that are generous but soft and well-polished.",14.50%,2014
Red,US,Textbook 2013 Page Turner Red (Oakville),Bordeaux-style Red Blend,65,750 ml,94,Textbook,"This is a beautiful blend of 60% Merlot, 20% Cabernet Franc and 20% Cabernet Sauvignon. Sanguine, ethereal currant and cranberry are twisted in game and black pepper, the midpalate velvety in texture with a gravelly edge.",14.10%,2013
Red,Chile,Almaviva 2013 Red (Puente Alto),Red Blend,100,750 ml,94,Almaviva,"On multiple passes this smells a touch earthy, but also reserved and rich. A dense, pure, silky palate is not rough in the least, while chocolaty, oaky flavors merge with berry and cassis and end in elegant notes of pepper, spice and herbs. This is more or less ready to go; drink through 2020.",15%,2013
White,US,Eighty Four 2016 Albario (Napa Valley),Albario,28,750 ml,94,Eighty Four,"This strengthens the argument that there's a place for different kinds of white wines to be made in the Napa Valley, emphasizing fruit freshness and acidity without sacrificing flavor or soul. Juicy apricot and green apple ride a wave of unoaked refreshment and refinement, all within a crisp framework of deliciousness. Lavender and honeysuckle seduce quietly.",13.80%,2016
Red,US,Les Belles Collines 2015 Pinot Noir (Russian River Valley),Pinot Noir,45,750 ml,94,Les Belles Collines,"A light, ethereal quality ignites this wine's compelling high-toned acidity and subtle, integrated oak. Juicy orange and cranberry form its core, as roses permeate the nose. The texture is silky smooth and inviting.",14.30%,2015
Red,Spain,Dominio Basconcillos 2011 Via Magna Crianza (Ribera del Duero),Tempranillo,33,750 ml,93,Dominio Basconcillos,"Ultraripe aromas of blackberry, cassis, raisin, tobacco and vanilla lead to a plush flush palate with kick-ass tannins. This tastes of baked blackberry, cassis and chocolate, while the finish is stout and dense as a brick. If you like full-bodied, ripe and saturated reds, this was made for you. Drink through 2025.",14%,2011
Dessert,Germany,Dr. Loosen 2013 Beerenauslese Riesling (Mosel),Riesling,56,375 ml,93,Dr. Loosen,"This is a remarkably well-priced yet classic Mosel-style beerenauslese. It's deeply concentrated with unctuous honey and peach flavors, dusted with a veil of pollen and crushed minerals. It's effortlessly spry yet electric on the palate, with a high-toned lemon-lime finish.",6.50%,2013
White,Portugal,Quinta da Rede 2015 Grande Reserva Branco White (Douro),Portuguese White,26,750 ml,93,Quinta da Rede,"Packed with ripe fruit, this wood-aged wine is dense and rich. A blend of Arinto and the Douro's local white grape, Rabigato, it is full of the ripest yellow fruits, laced through with stony minerality. The acidity and the spice from the wood give this wine its aging potential. Drink from 2019.",13.50%,2015
Red,US,Sojourn 2015 Walala Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,69,750 ml,93,Sojourn,"This is an inaugural release from this site, an ocean-viewing, high-elevation perch overlooking the Pacific Ocean that loves the variety. A sanguine element rides a canopy of dense, thick forest floor and dark cherry compote, the tannins and oak sizable and present. A length of cardamom provides a memorable spiciness to the finish.",14.20%,2015
Red,Italy,Antonio Caggiano 2013 Vigna Machia dei Goti (Taurasi),Aglianico,46,750 ml,93,Antonio Caggiano,"Enticing scents of blue flower, woodland berry, moist earth and chopped herb lift out of the glass. The elegant palate delivers juicy black cherry, raspberry, star anise and cinnamon set against a backbone of firm but refined tannins. It's impeccably balanced, with bright acidity. Hold for even more complexity and to let the tannins unwind. Drink 20202033.",14%,2013
Red,US,Betz Family 2014 Heart of the Hill Cabernet Sauvignon (Red Mountain),Cabernet Sauvignon,110,750 ml,93,Betz Family,"This aromatic brooder shows notes of dark cherry, barrel spice, pencil lead, vanilla and herb, along with a light floral note. The palate has nuance and detail with balance that is impressive. Give it some time in the cellar to strut its stuff. Best after 2023.",14.50%,2014
Red,US,Big Basin 2013 Gabilan Mountains G-S-M (Monterey County),G-S-M,44,750 ml,93,Big Basin,"Brooding black currant, blackberry pie aromas meet with clove, sweet tobacco, black tea and hot cola on the nose of this blend of 49% Grenache, 27% Syrah and 24% Mourvdre from the Coastview, Antle and Brosseau vineyards. There is candied Concord grape fruit to the energetic, light-on-its-feet sip, along with bay leaf, sage, marjoram and thyme.",14.90%,2013
Red,US,Big Basin 2014 Coastview Vineyard Pinot Noir (Monterey County),Pinot Noir,44,750 ml,93,Big Basin,"From a 16-year-old vineyard 2,200 feet up on the eastside of the Salinas Valley, this bottling offers fresh raspberry juice along with touches of bay leaf, pine and incense, like a morning walk through the forest. There is sizzling acidity at the start of the sip, which carries light, bright and tangy strawberry flavors along with more forest floor touches. The structure is upright but light.",12.80%,2014
Red,US,Buena Vista 2014 Ida's Selection Pinot Noir (Sonoma Coast),Pinot Noir,48,750 ml,93,Buena Vista,"Earthy cherry and cardamom instantly attract the nose and palate of this wine, flirty and floral in classically varietal aromas of forest floor and wild truffle. Juicy acidity keeps it alive and vibrant as it opens and develops, offering a welcome twist of tangerine in the background.",13.50%,2014
Red,Italy,Cantine del Notaio 2012 La Firma (Aglianico del Beneventano),Aglianico,60,750 ml,93,Cantine del Notaio,"New leather, ripe black plum, carob, baking spice and balsamic aromas jump out of the glass. The round full-bodied palate delivers mouthfuls of black cherry, blackberry, licorice and coffee set against a backbone of velvety tannins that lend a smooth, polished nuance to the firm structure. Drink through 2022.",14.50%,2012
Sparkling,France,Deutz 2010 Blanc de Blancs Brut (Champagne),Champagne Blend,80,750 ml,93,Deutz,"This wine is still young, reveling in its bright fruit and mineral texture. Drawn from Cte des Blancs vineyards, it's tight, tense and loaded with citrus fruit. With its finely crisp aftertaste, it's delicious now for its fruit but will also be great from 2020, once its toasty character develops more fully.",12%,2010
Red,Italy,Donnachiara 2012 Riserva (Taurasi),Aglianico,55,750 ml,93,Donnachiara,"Spiced plum, blue flower, vanilla, French oak and balsamic aromas lead the way on this firmly structured red. Full-bodied and elegant, the youthful, enveloping palate evokes blackberry, black cherry, pipe tobacco and ground clove framed in tightly knit fine-grained tannins. Drink 20202032.",14.50%,2012
White,France,La Chablisienne 2014 Monte de Tonnerre Premier Cru (Chablis),Chardonnay,40,750 ml,93,La Chablisienne,"Situated next to the Grand Cru vineyards, this Premier Cru has produced a rich, concentrated and beautifully dense wine. Its rich, creamy texture is enhanced by bright acidity and underlying power. Touches wood aging show through in its spiciness. Drink from 2019.",13%,2014
White,France,La Chablisienne 2014 Montmains Premier Cru (Chablis),Chardonnay,35,750 ml,93,La Chablisienne,"This refreshing wine comes from one of the Premier Cru sites on the north-facing bank of the Serein river. It's structured, tight and full of fine acidity and grapefruit and crisp apple flavors. Its texture and mineral character will allow it to age. Drink from 2019.",13%,2014
Red,US,Two Vintners 2014 Some Days Are Stones Stoney Vine Vineyard Syrah (Walla Walla Valley (WA)),Syrah,50,750 ml,93,Two Vintners,"Vibrant, complex aromas of grilled asparagus, ember, tapenade, fresh herb, potpourri and moist earth lead to full abundant palate-coating fruit and savory flavors. It shows a very pretty sense of styling along with impeccable balance.",14.20%,2014
Sparkling,France,Boude Baudin 2007 Cuve Amour de B (Champagne),Champagne Blend,139,750 ml,93,Boude Baudin,"From a very good if not great Champagne vintage, this mature wine is delicious and beautifully ripe. It still has plenty of crisp acidity, allowing the fruit to shine. At the same time, a yeasty, toasty character indicates its gentle aging. After eight years in the cellar before disgorging, it is ready to drink.",12%,2007
